	corresponding_gene_call	sample_id	pN_gene_consensus
0	73184	ABBA_M14	
1	73188	COCO_M01	
2	73188	FAGR_M17	
3	73189	COCO_M03	
4	73190	ABBA_M13	
5	73190	COCO_M01	
6	73190	FAGR_M20	0.0009448774426747953
7	73192	COCO_M05	
8	73193	ABBA_M14	0.0032065005643408893
9	73193	ACSA_M25	0.0024437366194976786
10	73193	COCO_M01	0.0019772014315380215
11	73193	COCO_M02	
12	73193	COCO_M03	0.0026640471060513657
13	73193	COCO_M05	0.0018655528557196207
14	73193	FAGR_M16	
15	73193	THOC_M09	
16	73194	COCO_M03	
17	73195	ABBA_M14	0.004673125098335149
18	73195	ACSA_M25	
19	73195	COCO_M01	
20	73195	COCO_M02	
21	73195	COCO_M03	0.0029185826038579978
22	73195	COCO_M04	
23	73195	COCO_M05	
24	73195	FAGR_M20	
25	73196	ABBA_M12	
26	73196	ABBA_M13	
27	73196	ABBA_M14	0.0025945746635003884
28	73196	COCO_M01	0.004611971031852045
29	73196	COCO_M02	0.003023624240532552
30	73196	COCO_M03	0.0070880548953896685
31	73196	COCO_M04	0.000995114474566524
32	73196	COCO_M05	0.003105396506626811
33	73196	THOC_M08	
34	73196	THOC_M10	
35	73197	ABBA_M14	
36	73197	COCO_M01	
37	73197	COCO_M02	
38	73197	COCO_M03	
39	73197	COCO_M05	
40	73197	FAGR_M16	
41	73197	THOC_M09	
42	73198	ABBA_M13	0.0009345234020854262
43	73198	ABBA_M14	0.0023668236000329076
44	73198	ACSA_M25	
45	73198	COCO_M01	0.00294897344754112
46	73198	COCO_M02	0.003865681003178002
47	73198	COCO_M03	0.005157773007267541
48	73198	COCO_M04	0.0006041079339508617
49	73198	COCO_M05	0.003708729154469941
50	73198	FAGR_M16	
51	73198	THOC_M09	0.0004740161486857402
52	73199	ABBA_M13	
53	73199	ABBA_M14	0.0005843628148669721
54	73199	ACSA_M25	
55	73199	COCO_M01	0.0019675729102761287
56	73199	COCO_M02	0.0007387562771993542
57	73199	COCO_M03	0.002486501368356285
58	73199	COCO_M04	
59	73199	COCO_M05	0.0005887085490415519
60	73199	FAGR_M20	
61	73199	THOC_M09	
62	73200	ABBA_M13	
63	73200	ABBA_M14	0.00044657272014391976
64	73200	ACSA_M25	
65	73200	COCO_M01	0.000907725053211472
66	73200	COCO_M02	0.0015298899172694147
67	73200	COCO_M03	0.0009087708474211577
68	73200	COCO_M04	
69	73200	COCO_M05	
70	73201	ABBA_M13	0.0033245837762205114
71	73201	ABBA_M14	0.005473134114224464
72	73201	COCO_M01	0.0036883265469847605
73	73201	COCO_M02	
74	73201	COCO_M03	0.0053141512798441
75	73201	COCO_M05	0.0019303917839482772
76	73201	FAGR_M20	
77	73202	ABBA_M14	
78	73202	ACSA_M25	
79	73202	COCO_M01	
80	73202	COCO_M02	
81	73202	COCO_M03	0.0009550219330660867
82	73202	COCO_M05	
83	73202	THOC_M09	0.0013840857645875293
84	73203	ABBA_M13	
85	73203	ABBA_M14	0.0028355714290819118
86	73203	COCO_M01	
87	73203	COCO_M02	
88	73203	COCO_M03	0.0002779540337026292
89	73203	COCO_M05	
90	73203	THOC_M09	
91	73204	ABBA_M13	
92	73204	ABBA_M14	
93	73204	ACSA_M25	
94	73204	COCO_M01	0.0006027727546714901
95	73204	COCO_M02	0.002577875543517502
96	73204	COCO_M03	0.0019358278851949783
97	73204	COCO_M05	
98	73204	THOC_M09	
99	73205	ABBA_M13	0.001269826686703902
