	corresponding_gene_call	sample_id	num_SCVs
0	73184	ABBA_M14	1
1	73188	COCO_M01	7
2	73188	FAGR_M17	1
3	73189	COCO_M03	3
4	73190	ABBA_M13	3
5	73190	COCO_M01	9
6	73190	FAGR_M20	13
7	73192	COCO_M05	1
8	73193	ABBA_M14	15
9	73193	ACSA_M25	13
10	73193	COCO_M01	12
11	73193	COCO_M02	8
12	73193	COCO_M03	17
13	73193	COCO_M05	22
14	73193	FAGR_M16	5
15	73193	THOC_M09	6
16	73194	COCO_M03	2
17	73195	ABBA_M14	29
18	73195	ACSA_M25	1
19	73195	COCO_M01	4
20	73195	COCO_M02	1
21	73195	COCO_M03	23
22	73195	COCO_M04	2
23	73195	COCO_M05	1
24	73195	FAGR_M20	5
25	73196	ABBA_M12	1
26	73196	ABBA_M13	7
27	73196	ABBA_M14	38
28	73196	COCO_M01	58
29	73196	COCO_M02	30
30	73196	COCO_M03	72
31	73196	COCO_M04	11
32	73196	COCO_M05	37
33	73196	THOC_M08	5
34	73196	THOC_M10	1
35	73197	ABBA_M14	2
36	73197	COCO_M01	7
37	73197	COCO_M02	6
38	73197	COCO_M03	7
39	73197	COCO_M05	8
40	73197	FAGR_M16	5
41	73197	THOC_M09	4
42	73198	ABBA_M13	16
43	73198	ABBA_M14	49
44	73198	ACSA_M25	1
45	73198	COCO_M01	58
46	73198	COCO_M02	71
47	73198	COCO_M03	107
48	73198	COCO_M04	11
49	73198	COCO_M05	54
50	73198	FAGR_M16	1
51	73198	THOC_M09	12
52	73199	ABBA_M13	2
53	73199	ABBA_M14	26
54	73199	ACSA_M25	1
55	73199	COCO_M01	47
56	73199	COCO_M02	12
57	73199	COCO_M03	57
58	73199	COCO_M04	4
59	73199	COCO_M05	21
60	73199	FAGR_M20	1
61	73199	THOC_M09	8
62	73200	ABBA_M13	4
63	73200	ABBA_M14	18
64	73200	ACSA_M25	2
65	73200	COCO_M01	10
66	73200	COCO_M02	14
67	73200	COCO_M03	21
