	corresponding_gene_call	sample_id	pS_gene_consensus
0	73184	ABBA_M14	
1	73188	COCO_M01	
2	73188	FAGR_M17	
3	73189	COCO_M03	
4	73190	ABBA_M13	
5	73190	COCO_M01	
6	73190	FAGR_M20	0.007359057962303116
7	73192	COCO_M05	
8	73193	ABBA_M14	0.017227367227367174
9	73193	ACSA_M25	0.010845910845910812
10	73193	COCO_M01	0.021281421281421214
11	73193	COCO_M02	
12	73193	COCO_M03	0.017172788601359977
13	73193	COCO_M05	0.02524718675052426
14	73193	FAGR_M16	
15	73193	THOC_M09	
16	73194	COCO_M03	
17	73195	ABBA_M14	0.02420668288737537
18	73195	ACSA_M25	
19	73195	COCO_M01	
20	73195	COCO_M02	
21	73195	COCO_M03	0.025880870391985597
22	73195	COCO_M04	
23	73195	COCO_M05	
24	73195	FAGR_M20	
25	73196	ABBA_M12	
26	73196	ABBA_M13	
27	73196	ABBA_M14	0.01829474945489083
28	73196	COCO_M01	0.02741442045057873
29	73196	COCO_M02	0.005478538738939468
30	73196	COCO_M03	0.032908865141115455
31	73196	COCO_M04	0.006111445506575218
32	73196	COCO_M05	0.016733174969359346
33	73196	THOC_M08	
34	73196	THOC_M10	
35	73197	ABBA_M14	
36	73197	COCO_M01	
37	73197	COCO_M02	
38	73197	COCO_M03	
39	73197	COCO_M05	
40	73197	FAGR_M16	
41	73197	THOC_M09	
42	73198	ABBA_M13	0.006048697038905618
43	73198	ABBA_M14	0.022424575449698572
44	73198	ACSA_M25	
45	73198	COCO_M01	0.022398865469482276
46	73198	COCO_M02	0.0273531077369778
47	73198	COCO_M03	0.04382574723647785
48	73198	COCO_M04	0.00574371932552613
49	73198	COCO_M05	0.022815749717743493
50	73198	FAGR_M16	
51	73198	THOC_M09	0.007092160932598062
52	73199	ABBA_M13	
53	73199	ABBA_M14	0.013427540974978374
54	73199	ACSA_M25	
55	73199	COCO_M01	0.027352175306941725
56	73199	COCO_M02	0.0045821945943262405
57	73199	COCO_M03	0.02649937136133151
58	73199	COCO_M04	
59	73199	COCO_M05	0.012486409466125713
60	73199	FAGR_M20	
61	73199	THOC_M09	
62	73200	ABBA_M13	
63	73200	ABBA_M14	0.02065673662758028
64	73200	ACSA_M25	
65	73200	COCO_M01	0.010709095081465496
66	73200	COCO_M02	0.0061167680770554175
67	73200	COCO_M03	0.02395589994532104
68	73200	COCO_M04	
69	73200	COCO_M05	
70	73201	ABBA_M13	0.012301215205273587
71	73201	ABBA_M14	0.002874905988385683
72	73201	COCO_M01	0.007102474380884308
73	73201	COCO_M02	
74	73201	COCO_M03	0.0335926977807601
75	73201	COCO_M05	0.013109982660391243
76	73201	FAGR_M20	
77	73202	ABBA_M14	
78	73202	ACSA_M25	
79	73202	COCO_M01	
80	73202	COCO_M02	
81	73202	COCO_M03	0.027595561961343457
82	73202	COCO_M05	
83	73202	THOC_M09	0.017411009583377948
84	73203	ABBA_M13	
85	73203	ABBA_M14	0.029969488208255922
86	73203	COCO_M01	
87	73203	COCO_M02	
88	73203	COCO_M03	0.013773182198378942
89	73203	COCO_M05	
90	73203	THOC_M09	
91	73204	ABBA_M13	
92	73204	ABBA_M14	
93	73204	ACSA_M25	
94	73204	COCO_M01	0.016188447859322906
95	73204	COCO_M02	0.0052020372386167545
96	73204	COCO_M03	0.01853382619818459
97	73204	COCO_M05	
98	73204	THOC_M09	
99	73205	ABBA_M13	0.03341124377819478
100	73205	ABBA_M14	0.030038564026275028
101	73205	COCO_M01	0.03107927795827854
