corresponding_gene_call	nS_gene_consensus	nN_gene_consensus
70799	359.6666666666637	966.3333333333363
70800	222.00000000000193	674.9999999999981
70801	238.0000000000024	601.9999999999976
70802	188.3333333333343	486.6666666666657
70803	666.0000000000058	1994.999999999994
70805	206.33333333333482	510.66666666666515
70807	124.66666666666598	337.33333333333405
70808	232.6666666666689	553.3333333333311
70809	170.3333333333338	513.6666666666662
70810	181.00000000000077	493.9999999999992
70811	408.9999999999942	1067.000000000006
70812	242.6666666666692	594.3333333333308
70813	469.99999999999073	1285.0000000000093
70814	318.3333333333327	839.6666666666673
70815	204.00000000000142	515.9999999999986
70816	148.66666666666652	457.3333333333335
70818	271.00000000000205	676.999999999998
70819	64.3333333333335	211.66666666666652
70820	331.33333333333195	820.6666666666681
70821	64.3333333333335	169.66666666666652
70822	298.3333333333338	907.6666666666662
70823	287.33333333333445	744.6666666666656
70824	202.66666666666805	592.3333333333319
70825	179.0000000000007	492.9999999999993
70826	289.000000000001	760.999999999999
70827	346.6666666666644	961.3333333333355
70828	291.0000000000009	767.9999999999991
70829	342.3333333333313	953.6666666666687
70830	218.00000000000182	612.9999999999982
70831	191.3333333333344	510.6666666666656
70832	361.33333333333024	964.6666666666697
70833	434.9999999999927	1248.0000000000073
70834	336.9999999999983	884.0000000000017
70835	108.6666666666662	296.3333333333338
70836	420.9999999999935	1043.0000000000064
70837	209.00000000000156	540.9999999999984
70838	359.33333333333036	954.6666666666697
70839	54.00000000000011	149.9999999999999
70840	280.33333333333485	841.6666666666652
70841	475.9999999999904	1351.0000000000095
70842	174.00000000000057	455.99999999999943
70843	568.9999999999948	1543.0000000000052
70844	88.66666666666649	274.3333333333335
70845	158.0000000000001	474.9999999999999
70846	174.66666666666725	452.33333333333275
70847	330.333333333332	836.666666666668
70848	256.3333333333362	589.6666666666638
70849	217.66666666666848	601.3333333333316
70850	122.99999999999933	396.0000000000007
70851	292.6666666666675	766.3333333333326
70852	654.3333333333378	1916.6666666666622
70853	305.3333333333334	849.6666666666665
70854	407.66666666666094	1179.333333333339
70855	332.3333333333319	903.6666666666681
70856	163.66666666666694	475.33333333333303
70857	315.6666666666662	863.3333333333338
70858	251.00000000000276	606.9999999999973
70859	134.66666666666612	429.3333333333339
