	corresponding_gene_call	sample_id	pNpS_gene_consensus
0	70799	COCO_M01	
1	70799	COCO_M03	
2	70799	FAGR_M17	
3	70799	FAGR_M20	
4	70799	THOC_M08	
5	70800	ABBA_M12	0.37115818408105083
6	70800	ABBA_M13	0.08439165893301434
7	70800	ABBA_M14	0.29921289816978863
8	70800	ABBA_M15	0.21647095231276703
9	70800	ACSA_M21	
10	70800	ACSA_M22	0.44818357531184094
11	70800	ACSA_M25	0.16269060608800975
12	70800	COCO_M01	0.12417513794266659
13	70800	COCO_M02	
14	70800	COCO_M03	0.21326290132051215
15	70800	COCO_M04	0.22062583926790946
16	70800	COCO_M05	
17	70800	FAGR_M16	0.2672813599708451
18	70800	FAGR_M17	0.25626918004843235
19	70800	FAGR_M18	0.2546083615660469
20	70800	FAGR_M19	0.24693194023242002
21	70800	FAGR_M20	
22	70800	THOC_M06	0.3792225436588997
23	70800	THOC_M07	0.14028059963728967
24	70800	THOC_M08	
25	70800	THOC_M10	0.25452423144173475
26	70801	ABBA_M15	
27	70801	ACSA_M25	
28	70801	COCO_M02	
29	70801	COCO_M03	
30	70801	COCO_M04	
31	70801	FAGR_M17	
32	70802	COCO_M03	
33	70802	COCO_M04	
34	70803	ABBA_M13	
35	70803	ABBA_M14	
36	70803	ABBA_M15	
37	70803	ACSA_M22	
38	70803	ACSA_M25	
39	70803	COCO_M02	0.1780383573899103
40	70803	COCO_M03	0.15499185025500994
41	70803	COCO_M04	
42	70803	COCO_M05	
43	70803	FAGR_M16	
44	70803	FAGR_M17	
45	70803	FAGR_M20	
46	70805	ABBA_M15	
47	70805	COCO_M02	
48	70805	COCO_M03	
49	70805	FAGR_M17	
50	70807	ACSA_M25	
51	70807	COCO_M02	
52	70807	COCO_M04	
53	70807	FAGR_M16	
54	70808	ABBA_M13	
55	70808	ACSA_M22	
56	70808	ACSA_M25	
57	70808	COCO_M02	
58	70808	COCO_M03	
59	70808	COCO_M04	
60	70808	FAGR_M16	
61	70809	ABBA_M13	
62	70809	ABBA_M14	
63	70809	COCO_M02	
64	70809	COCO_M03	
65	70809	COCO_M04	
66	70809	THOC_M07	
67	70810	ABBA_M15	
68	70810	COCO_M02	
69	70810	COCO_M03	
70	70810	COCO_M04	
71	70810	FAGR_M17	
72	70811	ABBA_M15	
73	70811	ACSA_M25	
74	70811	COCO_M02	
75	70811	COCO_M03	
76	70811	COCO_M04	
77	70811	FAGR_M16	
78	70811	FAGR_M17	
79	70811	FAGR_M20	
80	70812	ABBA_M15	
81	70812	FAGR_M17	
82	70813	ABBA_M15	
83	70813	COCO_M03	
84	70813	COCO_M04	
85	70813	FAGR_M16	
86	70813	THOC_M09	
87	70814	ABBA_M13	
88	70815	ABBA_M15	
89	70815	COCO_M02	
90	70815	COCO_M03	
91	70815	FAGR_M16	
92	70815	FAGR_M17	
93	70816	ACSA_M24	
94	70816	COCO_M01	
95	70816	COCO_M03	
96	70816	FAGR_M16	
97	70816	FAGR_M20	
98	70818	ABBA_M13	
99	70818	ABBA_M15	
100	70818	COCO_M03	
101	70819	ABBA_M13	
102	70819	ABBA_M15	
103	70819	COCO_M03	
104	70820	COCO_M01	
105	70820	COCO_M03	
106	70820	COCO_M04	0.7254940305980034
107	70820	FAGR_M17	
108	70820	THOC_M06	
109	70821	ABBA_M15	
110	70821	COCO_M04	
111	70821	FAGR_M17	
112	70821	FAGR_M20	
113	70822	ABBA_M13	
114	70822	ACSA_M25	
115	70822	COCO_M03	
116	70822	COCO_M04	
117	70822	FAGR_M17	
118	70823	ABBA_M12	
119	70823	ABBA_M14	
120	70823	ABBA_M15	
121	70823	COCO_M03	
122	70823	FAGR_M16	
123	70824	ABBA_M13	
124	70824	ABBA_M15	
125	70824	COCO_M03	
126	70824	FAGR_M20	
127	70825	ABBA_M15	
128	70825	ACSA_M25	
129	70825	COCO_M03	
130	70825	COCO_M04	
131	70826	COCO_M02	
132	70826	COCO_M03	
133	70826	FAGR_M20	
134	70827	ABBA_M12	
135	70827	ABBA_M15	
136	70827	COCO_M01	
137	70827	COCO_M02	
138	70827	COCO_M03	
139	70827	COCO_M04	
140	70827	FAGR_M16	
141	70827	FAGR_M17	
142	70827	FAGR_M20	
143	70828	ACSA_M25	
144	70828	COCO_M03	0.33204529696345403
145	70828	COCO_M04	
146	70828	FAGR_M16	
147	70828	FAGR_M17	0.7091129506269623
148	70828	FAGR_M20	
149	70828	THOC_M09	
150	70829	ABBA_M13	
151	70829	ABBA_M14	
152	70829	ABBA_M15	
153	70829	ACSA_M25	
154	70829	COCO_M01	
155	70829	COCO_M02	
156	70829	COCO_M03	
157	70829	COCO_M05	
158	70829	FAGR_M16	
159	70829	FAGR_M17	
160	70829	FAGR_M20	
161	70830	ABBA_M11	
162	70830	ABBA_M13	
163	70830	ACSA_M22	
164	70830	COCO_M02	
165	70830	FAGR_M16	
166	70830	FAGR_M17	
167	70830	FAGR_M20	
168	70831	ABBA_M13	
169	70831	ABBA_M14	
170	70831	COCO_M01	
171	70831	COCO_M02	
172	70831	COCO_M03	0.16970390680459332
173	70831	FAGR_M16	
174	70832	ABBA_M14	
175	70832	ABBA_M15	
176	70832	COCO_M01	
177	70832	COCO_M03	
178	70832	FAGR_M17	
179	70833	ACSA_M22	
180	70833	COCO_M01	
181	70833	COCO_M02	
182	70833	COCO_M03	
183	70833	COCO_M04	
184	70833	FAGR_M17	
185	70833	FAGR_M20	
186	70833	THOC_M09	
187	70834	ACSA_M25	
188	70834	COCO_M02	
189	70834	COCO_M03	
190	70835	ABBA_M15	
191	70836	COCO_M01	
192	70836	COCO_M02	
193	70836	COCO_M03	
194	70836	COCO_M04	
195	70836	FAGR_M16	0.24698261133334196
196	70836	FAGR_M17	
197	70837	ABBA_M15	
198	70837	COCO_M02	
199	70837	COCO_M03	
200	70837	FAGR_M17	
201	70837	THOC_M09	
202	70838	ABBA_M13	
203	70838	ABBA_M14	0.28190451647762593
204	70838	ABBA_M15	
205	70838	ACSA_M22	
206	70838	COCO_M02	
207	70838	COCO_M03	
208	70838	COCO_M05	
209	70838	FAGR_M17	
210	70838	FAGR_M20	
211	70838	THOC_M09	0.1015573395563032
212	70839	ABBA_M14	
213	70840	ABBA_M13	
214	70840	COCO_M03	
215	70841	ABBA_M13	
216	70841	ABBA_M14	
217	70841	ABBA_M15	
218	70841	ACSA_M25	
219	70841	COCO_M03	
220	70841	FAGR_M16	
221	70841	FAGR_M17	
222	70841	THOC_M09	
223	70842	ABBA_M15	
224	70842	COCO_M04	
225	70843	ABBA_M12	
226	70843	ABBA_M14	
227	70843	ABBA_M15	
228	70843	ACSA_M25	
229	70843	COCO_M02	
230	70843	COCO_M03	
231	70843	COCO_M04	
232	70843	FAGR_M17	
233	70843	FAGR_M20	
234	70844	ABBA_M13	
235	70844	COCO_M03	
236	70844	FAGR_M17	
237	70844	FAGR_M20	
238	70845	ABBA_M14	
239	70845	COCO_M01	
240	70845	COCO_M02	
241	70845	COCO_M03	
242	70845	COCO_M04	
243	70845	FAGR_M16	
244	70846	COCO_M01	
245	70846	COCO_M03	
246	70846	THOC_M06	
247	70847	ABBA_M11	
248	70847	ABBA_M14	0.19216119991423264
249	70847	ABBA_M15	
250	70847	ACSA_M25	
251	70847	COCO_M03	
252	70847	COCO_M04	
253	70847	FAGR_M20	
254	70848	ABBA_M14	
255	70848	COCO_M04	
256	70848	THOC_M09	
257	70849	ABBA_M15	
258	70849	ACSA_M25	
259	70849	COCO_M03	
260	70849	COCO_M04	
261	70849	FAGR_M16	
262	70850	COCO_M02	
263	70850	COCO_M03	
264	70851	ABBA_M11	
265	70851	ABBA_M13	
266	70851	ABBA_M14	
267	70851	ACSA_M25	
268	70851	COCO_M01	
269	70851	COCO_M02	
270	70851	COCO_M03	
271	70851	COCO_M04	
272	70851	FAGR_M17	
273	70852	ABBA_M11	
274	70852	ABBA_M13	0.09037806235411004
275	70852	ABBA_M15	
276	70852	ACSA_M25	
277	70852	COCO_M02	
