	corresponding_gene_call	sample_id	num_SCVs
0	70799	COCO_M01	1
1	70799	COCO_M03	4
2	70799	FAGR_M17	4
3	70799	FAGR_M20	1
4	70799	THOC_M08	8
5	70800	ABBA_M12	15
6	70800	ABBA_M13	11
7	70800	ABBA_M14	38
8	70800	ABBA_M15	34
9	70800	ACSA_M21	7
10	70800	ACSA_M22	15
11	70800	ACSA_M25	17
12	70800	COCO_M01	13
13	70800	COCO_M02	1
14	70800	COCO_M03	29
15	70800	COCO_M04	39
16	70800	COCO_M05	2
17	70800	FAGR_M16	15
18	70800	FAGR_M17	24
19	70800	FAGR_M18	23
20	70800	FAGR_M19	19
21	70800	FAGR_M20	9
22	70800	THOC_M06	13
23	70800	THOC_M07	20
24	70800	THOC_M08	7
25	70800	THOC_M10	29
26	70801	ABBA_M15	3
27	70801	ACSA_M25	3
28	70801	COCO_M02	3
29	70801	COCO_M03	5
30	70801	COCO_M04	1
31	70801	FAGR_M17	3
32	70802	COCO_M03	7
33	70802	COCO_M04	1
34	70803	ABBA_M13	4
35	70803	ABBA_M14	3
36	70803	ABBA_M15	4
37	70803	ACSA_M22	2
38	70803	ACSA_M25	1
39	70803	COCO_M02	18
40	70803	COCO_M03	15
41	70803	COCO_M04	2
42	70803	COCO_M05	2
43	70803	FAGR_M16	2
44	70803	FAGR_M17	6
45	70803	FAGR_M20	4
46	70805	ABBA_M15	1
47	70805	COCO_M02	2
48	70805	COCO_M03	2
49	70805	FAGR_M17	2
50	70807	ACSA_M25	1
51	70807	COCO_M02	2
52	70807	COCO_M04	9
53	70807	FAGR_M16	1
54	70808	ABBA_M13	1
55	70808	ACSA_M22	1
56	70808	ACSA_M25	4
57	70808	COCO_M02	1
58	70808	COCO_M03	2
59	70808	COCO_M04	1
60	70808	FAGR_M16	6
61	70809	ABBA_M13	5
62	70809	ABBA_M14	2
63	70809	COCO_M02	1
64	70809	COCO_M03	2
65	70809	COCO_M04	1
66	70809	THOC_M07	1
67	70810	ABBA_M15	1
68	70810	COCO_M02	2
69	70810	COCO_M03	1
70	70810	COCO_M04	6
71	70810	FAGR_M17	2
72	70811	ABBA_M15	2
73	70811	ACSA_M25	1
74	70811	COCO_M02	1
75	70811	COCO_M03	2
76	70811	COCO_M04	2
77	70811	FAGR_M16	3
78	70811	FAGR_M17	1
79	70811	FAGR_M20	2
80	70812	ABBA_M15	3
81	70812	FAGR_M17	2
82	70813	ABBA_M15	2
83	70813	COCO_M03	4
84	70813	COCO_M04	2
85	70813	FAGR_M16	1
86	70813	THOC_M09	6
87	70814	ABBA_M13	1
88	70815	ABBA_M15	2
89	70815	COCO_M02	3
90	70815	COCO_M03	2
91	70815	FAGR_M16	3
92	70815	FAGR_M17	4
93	70816	ACSA_M24	1
94	70816	COCO_M01	1
95	70816	COCO_M03	5
96	70816	FAGR_M16	7
97	70816	FAGR_M20	1
98	70818	ABBA_M13	3
99	70818	ABBA_M15	2
100	70818	COCO_M03	7
101	70819	ABBA_M13	2
102	70819	ABBA_M15	3
103	70819	COCO_M03	1
104	70820	COCO_M01	3
105	70820	COCO_M03	7
106	70820	COCO_M04	12
107	70820	FAGR_M17	2
108	70820	THOC_M06	2
109	70821	ABBA_M15	1
110	70821	COCO_M04	2
111	70821	FAGR_M17	1
112	70821	FAGR_M20	1
113	70822	ABBA_M13	3
114	70822	ACSA_M25	3
115	70822	COCO_M03	5
116	70822	COCO_M04	2
117	70822	FAGR_M17	1
118	70823	ABBA_M12	4
119	70823	ABBA_M14	7
120	70823	ABBA_M15	3
121	70823	COCO_M03	1
122	70823	FAGR_M16	3
123	70824	ABBA_M13	3
124	70824	ABBA_M15	3
125	70824	COCO_M03	3
126	70824	FAGR_M20	5
127	70825	ABBA_M15	8
128	70825	ACSA_M25	1
129	70825	COCO_M03	1
130	70825	COCO_M04	4
131	70826	COCO_M02	2
132	70826	COCO_M03	1
133	70826	FAGR_M20	3
134	70827	ABBA_M12	1
135	70827	ABBA_M15	3
136	70827	COCO_M01	1
137	70827	COCO_M02	4
138	70827	COCO_M03	9
139	70827	COCO_M04	4
140	70827	FAGR_M16	4
141	70827	FAGR_M17	5
142	70827	FAGR_M20	1
143	70828	ACSA_M25	2
144	70828	COCO_M03	11
145	70828	COCO_M04	2
146	70828	FAGR_M16	9
147	70828	FAGR_M17	11
148	70828	FAGR_M20	9
149	70828	THOC_M09	1
150	70829	ABBA_M13	4
151	70829	ABBA_M14	4
152	70829	ABBA_M15	1
153	70829	ACSA_M25	1
154	70829	COCO_M01	1
155	70829	COCO_M02	1
156	70829	COCO_M03	8
157	70829	COCO_M05	1
158	70829	FAGR_M16	1
159	70829	FAGR_M17	3
160	70829	FAGR_M20	2
161	70830	ABBA_M11	2
162	70830	ABBA_M13	3
163	70830	ACSA_M22	1
164	70830	COCO_M02	4
165	70830	FAGR_M16	1
166	70830	FAGR_M17	1
167	70830	FAGR_M20	3
168	70831	ABBA_M13	1
169	70831	ABBA_M14	3
170	70831	COCO_M01	2
171	70831	COCO_M02	1
172	70831	COCO_M03	10
173	70831	FAGR_M16	1
174	70832	ABBA_M14	1
175	70832	ABBA_M15	6
176	70832	COCO_M01	1
177	70832	COCO_M03	8
178	70832	FAGR_M17	2
179	70833	ACSA_M22	4
180	70833	COCO_M01	1
181	70833	COCO_M02	3
182	70833	COCO_M03	1
183	70833	COCO_M04	5
184	70833	FAGR_M17	3
185	70833	FAGR_M20	2
186	70833	THOC_M09	2
187	70834	ACSA_M25	2
188	70834	COCO_M02	2
189	70834	COCO_M03	1
190	70835	ABBA_M15	1
191	70836	COCO_M01	1
192	70836	COCO_M02	1
193	70836	COCO_M03	1
194	70836	COCO_M04	1
195	70836	FAGR_M16	14
196	70836	FAGR_M17	2
197	70837	ABBA_M15	1
198	70837	COCO_M02	3
199	70837	COCO_M03	2
200	70837	FAGR_M17	1
201	70837	THOC_M09	7
202	70838	ABBA_M13	3
203	70838	ABBA_M14	14
204	70838	ABBA_M15	2
205	70838	ACSA_M22	1
206	70838	COCO_M02	1
207	70838	COCO_M03	6
208	70838	COCO_M05	3
209	70838	FAGR_M17	5
210	70838	FAGR_M20	6
211	70838	THOC_M09	16
212	70839	ABBA_M14	1
213	70840	ABBA_M13	1
214	70840	COCO_M03	4
215	70841	ABBA_M13	3
216	70841	ABBA_M14	9
217	70841	ABBA_M15	1
218	70841	ACSA_M25	1
219	70841	COCO_M03	6
220	70841	FAGR_M16	5
221	70841	FAGR_M17	2
222	70841	THOC_M09	8
223	70842	ABBA_M15	2
224	70842	COCO_M04	2
225	70843	ABBA_M12	1
226	70843	ABBA_M14	2
227	70843	ABBA_M15	2
228	70843	ACSA_M25	2
229	70843	COCO_M02	1
230	70843	COCO_M03	3
231	70843	COCO_M04	1
232	70843	FAGR_M17	1
233	70843	FAGR_M20	3
234	70844	ABBA_M13	2
235	70844	COCO_M03	1
236	70844	FAGR_M17	2
237	70844	FAGR_M20	5
238	70845	ABBA_M14	1
239	70845	COCO_M01	2
240	70845	COCO_M02	3
241	70845	COCO_M03	9
242	70845	COCO_M04	2
243	70845	FAGR_M16	3
244	70846	COCO_M01	1
245	70846	COCO_M03	1
246	70846	THOC_M06	1
247	70847	ABBA_M11	1
248	70847	ABBA_M14	10
249	70847	ABBA_M15	8
250	70847	ACSA_M25	2
251	70847	COCO_M03	1
252	70847	COCO_M04	1
253	70847	FAGR_M20	1
254	70848	ABBA_M14	3
255	70848	COCO_M04	3
256	70848	THOC_M09	2
257	70849	ABBA_M15	1
258	70849	ACSA_M25	1
259	70849	COCO_M03	5
260	70849	COCO_M04	2
261	70849	FAGR_M16	1
262	70850	COCO_M02	1
263	70850	COCO_M03	1
264	70851	ABBA_M11	2
265	70851	ABBA_M13	1
266	70851	ABBA_M14	1
267	70851	ACSA_M25	2
268	70851	COCO_M01	1
269	70851	COCO_M02	1
270	70851	COCO_M03	3
271	70851	COCO_M04	1
272	70851	FAGR_M17	2
273	70852	ABBA_M11	3
274	70852	ABBA_M13	15
275	70852	ABBA_M15	1
276	70852	ACSA_M25	2
277	70852	COCO_M02	3
278	70852	COCO_M03	15
279	70852	FAGR_M20	6
280	70852	THOC_M08	9
281	70852	THOC_M10	5
282	70853	COCO_M01	4
283	70853	COCO_M03	2
284	70853	COCO_M05	2
285	70853	FAGR_M17	3
286	70853	FAGR_M20	1
287	70854	ABBA_M13	3
288	70854	ABBA_M14	11
289	70854	ABBA_M15	10
290	70854	COCO_M01	1
291	70854	COCO_M03	4
292	70854	COCO_M04	1
293	70854	FAGR_M16	1
294	70854	FAGR_M20	3
295	70855	ABBA_M14	1
296	70855	ABBA_M15	1
297	70855	COCO_M02	4
298	70855	COCO_M03	2
299	70855	FAGR_M17	1
300	70855	FAGR_M20	4
301	70856	COCO_M02	1
302	70856	FAGR_M17	2
303	70856	FAGR_M20	3
304	70857	ABBA_M14	21
305	70857	ACSA_M22	1
306	70857	ACSA_M25	5
307	70857	COCO_M01	3
308	70857	COCO_M02	6
309	70857	COCO_M03	4
310	70857	COCO_M04	3
311	70857	COCO_M05	2
312	70857	FAGR_M17	5
313	70858	ABBA_M14	1
314	70858	ACSA_M25	1
315	70858	COCO_M03	5
316	70858	FAGR_M16	2
317	70858	FAGR_M20	1
318	70859	ABBA_M13	1
319	70859	ABBA_M15	1
320	70859	COCO_M03	1
321	70859	FAGR_M16	1
322	70859	FAGR_M20	1
323	70860	COCO_M01	1
324	70860	COCO_M03	2
325	70860	FAGR_M17	1
326	70861	ABBA_M13	2
327	70861	ABBA_M15	4
328	70861	ACSA_M25	1
329	70861	COCO_M02	5
330	70861	COCO_M03	9
331	70862	ABBA_M14	1
332	70862	ACSA_M25	3
333	70862	COCO_M03	1
334	70862	COCO_M04	6
335	70862	FAGR_M16	8
336	70862	FAGR_M20	2
337	70864	ABBA_M11	10
338	70864	ABBA_M14	9
339	70864	ACSA_M25	1
340	70864	COCO_M03	2
341	70864	COCO_M04	2
342	70864	FAGR_M16	1
343	70864	FAGR_M20	3
344	70864	THOC_M07	6
345	70864	THOC_M09	7
346	70865	ABBA_M15	1
347	70865	COCO_M02	2
348	70865	COCO_M03	2
349	70865	FAGR_M17	3
350	70866	ABBA_M12	2
351	70866	COCO_M02	1
352	70866	FAGR_M20	1
353	70867	ABBA_M13	5
354	70867	ACSA_M25	3
355	70867	COCO_M03	4
356	70867	COCO_M04	1
357	70867	FAGR_M17	1
358	70867	THOC_M10	4
359	70868	ABBA_M15	1
360	70868	ACSA_M25	1
361	70868	COCO_M02	7
362	70868	COCO_M04	1
363	70868	FAGR_M16	1
364	70869	ABBA_M13	2
365	70869	ABBA_M14	9
366	70869	ACSA_M22	2
367	70869	COCO_M01	2
368	70869	COCO_M02	5
369	70869	COCO_M03	12
370	70869	COCO_M04	1
371	70869	FAGR_M17	1
372	70869	FAGR_M20	3
373	70869	THOC_M09	2
374	70870	ACSA_M25	1
375	70870	COCO_M01	1
376	70870	COCO_M03	1
377	70870	COCO_M04	1
378	70870	FAGR_M17	1
379	70871	ACSA_M24	1
380	70871	COCO_M01	5
381	70871	COCO_M03	3
382	70871	COCO_M05	14
383	70872	COCO_M02	3
384	70872	COCO_M03	1
385	70872	FAGR_M17	1
386	70873	COCO_M02	1
387	70873	COCO_M03	2
388	70873	THOC_M10	1
389	70875	COCO_M02	1
390	70876	ABBA_M14	1
391	70877	COCO_M02	4
392	70877	COCO_M04	2
393	70878	COCO_M03	2
394	70879	ABBA_M14	2
395	70879	ABBA_M15	1
396	70879	COCO_M02	2
397	70879	COCO_M03	3
398	70879	FAGR_M16	5
399	70879	FAGR_M20	1
400	70879	THOC_M09	1
401	70880	ABBA_M11	8
