name	bin_id	collection_id	profile_db_path	contigs_db_path
M_adhaesivum	M_adhaesivum	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_aerolatum	M_aerolatum	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_ajmalii	M_ajmalii	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_aminovorans	M_aminovorans	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_aquaticum	M_aquaticum	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_brachiatum	M_brachiatum	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_brachythecii	M_brachythecii	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_bullatum	M_bullatum	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_cerastii	M_cerastii	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_crusticola	M_crusticola	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_currus	M_currus	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_dankookense	M_dankookense	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_durans	M_durans	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_extorquens	M_extorquens	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_frigidaeris	M_frigidaeris	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_fujisawaense	M_fujisawaense	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_gnaphalii	M_gnaphalii	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_goesingense	M_goesingense	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_gossipiicola	M_gossipiicola	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_gregans	M_gregans	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_haplocladii	M_haplocladii	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_hispanicum	M_hispanicum	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_indicum	M_indicum	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_iners	M_iners	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_isbiliense	M_isbiliense	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_jeotgali	M_jeotgali	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_komagatae	M_komagatae	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_longum	M_longum	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
M_marchantiae	M_marchantiae	Methylobacterium_Species_for_COCO	../anvio_analysis/COCO/COCO-MERGED/PROFILE.db	all_genomes-CONTIGS.db
