corresponding_gene_call	nS_gene_consensus	nN_gene_consensus
69460	103.33333333333294	307.6666666666671
69461	110.66666666666617	318.3333333333338
69462	45.00000000000004	152.99999999999994
69463	182.66666666666748	552.3333333333326
69466	549.3333333333259	1394.6666666666742
69467	264.6666666666691	827.333333333331
69468	76.0	209.0
69470	352.33333333333076	976.6666666666692
69471	66.6666666666668	200.3333333333332
69472	85.66666666666653	250.33333333333348
69473	69.66666666666676	209.33333333333326
69474	59.66666666666681	183.3333333333332
69476	63.66666666666684	188.33333333333314
69477	61.33333333333349	178.66666666666652
69478	50.00000000000008	138.99999999999991
69479	48.3333333333334	185.6666666666666
69480	180.00000000000074	527.9999999999993
69481	200.0000000000013	519.9999999999986
69482	203.66666666666808	495.3333333333319
69483	142.66666666666634	424.33333333333366
69484	73.00000000000004	229.99999999999994
69485	57.333333333333464	182.66666666666654
69488	121.33333333333269	322.6666666666673
69489	72.66666666666671	194.3333333333333
69490	63.333333333333506	191.6666666666665
69491	44.000000000000036	120.99999999999997
69492	66.33333333333347	191.66666666666652
69493	79.99999999999994	247.00000000000006
69494	64.3333333333335	181.66666666666652
69496	265.0000000000024	760.9999999999976
69497	301.33333333333366	817.6666666666663
69498	360.99999999999693	965.0000000000031
69500	177.66666666666734	500.3333333333327
69502	104.66666666666626	288.3333333333337
69503	267.0000000000023	758.9999999999977
69505	81.66666666666659	209.33333333333343
69506	99.99999999999966	287.00000000000034
69507	65.00000000000016	186.99999999999983
69511	278.00000000000165	783.9999999999984
69512	84.66666666666654	257.3333333333335
69513	108.6666666666662	329.3333333333338
69514	32.66666666666662	105.33333333333337
69515	129.66666666666598	359.33333333333405
69516	26.99999999999997	75.00000000000003
69517	59.33333333333348	183.66666666666652
69518	52.33333333333343	202.66666666666657
69519	503.9999999999888	1482.0000000000111
69520	70.33333333333341	223.66666666666657
69521	50.66666666666675	153.33333333333326
69522	46.66666666666672	151.3333333333333
69523	111.66666666666616	392.3333333333338
69524	330.333333333332	953.666666666668
69525	113.66666666666613	327.3333333333339
69526	127.99999999999926	334.00000000000074
69527	186.6666666666676	515.3333333333323
69528	396.9999999999949	1055.000000000005
69529	133.99999999999943	376.00000000000057
69530	53.0000000000001	156.9999999999999
69531	200.666666666668	579.333333333332
