	corresponding_gene_call	sample_id	pNpS_gene_consensus
0	69460	THOC_M09	0.1199612857714048
1	69461	ABBA_M12	
2	69461	FAGR_M16	
3	69461	FAGR_M19	
4	69461	THOC_M08	
5	69461	THOC_M09	
6	69461	THOC_M10	
7	69462	THOC_M09	
8	69462	THOC_M10	
9	69463	ABBA_M12	
10	69463	ACSA_M21	
11	69463	COCO_M02	
12	69463	COCO_M05	
13	69463	THOC_M08	
14	69463	THOC_M09	
15	69463	THOC_M10	
16	69466	ABBA_M12	0.4324939558575994
17	69466	ACSA_M21	
18	69466	COCO_M01	
19	69466	COCO_M02	
20	69466	COCO_M03	
21	69466	COCO_M05	0.7959367560180552
22	69466	FAGR_M16	
23	69466	FAGR_M17	
24	69466	FAGR_M19	
25	69466	THOC_M07	
26	69466	THOC_M08	
27	69466	THOC_M09	0.1743270882219389
28	69466	THOC_M10	0.22785373283471938
29	69467	ABBA_M12	0.14565008184670034
30	69467	ABBA_M14	
31	69467	ACSA_M21	
32	69467	COCO_M01	
33	69467	COCO_M02	
34	69467	COCO_M03	
35	69467	COCO_M04	
36	69467	COCO_M05	
37	69467	FAGR_M16	0.08844883214833948
38	69467	FAGR_M19	0.0838675488543812
39	69467	THOC_M06	
40	69467	THOC_M07	
41	69467	THOC_M09	0.2064834081637601
42	69467	THOC_M10	0.13568406112387668
43	69468	COCO_M01	
44	69468	THOC_M09	
45	69470	ABBA_M12	
46	69470	ACSA_M21	
47	69470	ACSA_M25	
48	69470	COCO_M03	
49	69470	COCO_M05	
50	69470	FAGR_M19	
51	69470	THOC_M08	
52	69470	THOC_M09	
53	69470	THOC_M10	
54	69471	THOC_M09	
55	69471	THOC_M10	
56	69472	ABBA_M12	0.08406099293392531
57	69472	COCO_M01	
58	69472	COCO_M03	
59	69472	COCO_M05	
60	69472	FAGR_M16	
61	69472	FAGR_M17	
62	69472	THOC_M07	
63	69472	THOC_M08	
64	69472	THOC_M09	
65	69472	THOC_M10	0.16448546113125945
66	69473	ABBA_M12	
67	69473	ACSA_M21	
68	69473	COCO_M01	
69	69473	FAGR_M16	
70	69473	FAGR_M17	
71	69473	THOC_M07	
72	69473	THOC_M08	
73	69473	THOC_M09	
74	69473	THOC_M10	
75	69474	ABBA_M12	
76	69474	THOC_M10	
77	69476	THOC_M09	
78	69476	THOC_M10	
79	69477	ABBA_M12	
80	69477	COCO_M05	
81	69477	THOC_M07	
82	69477	THOC_M09	
83	69477	THOC_M10	
84	69478	THOC_M08	
85	69479	ABBA_M12	
86	69479	COCO_M05	
87	69479	THOC_M08	
88	69479	THOC_M09	
89	69479	THOC_M10	
90	69480	ABBA_M12	
91	69480	THOC_M09	
92	69480	THOC_M10	
93	69481	ABBA_M12	
94	69481	THOC_M08	
95	69481	THOC_M09	
96	69481	THOC_M10	
97	69482	ABBA_M12	
98	69482	COCO_M03	
99	69482	THOC_M07	
100	69482	THOC_M09	
101	69482	THOC_M10	
102	69483	FAGR_M16	
103	69483	FAGR_M17	
104	69484	THOC_M09	
105	69484	THOC_M10	0.06035822288591143
106	69485	THOC_M10	
107	69488	ABBA_M12	
108	69488	ABBA_M13	
109	69488	FAGR_M17	
110	69489	COCO_M02	
111	69489	FAGR_M16	
112	69489	THOC_M09	0.24059304419339875
113	69489	THOC_M10	0.16291129834254198
114	69490	THOC_M09	
115	69490	THOC_M10	
116	69491	ABBA_M12	
117	69491	ACSA_M25	
118	69492	ACSA_M25	
119	69492	COCO_M03	
120	69492	COCO_M05	
121	69492	THOC_M09	
122	69493	ABBA_M12	0.11106918661074978
123	69493	COCO_M01	
124	69493	COCO_M03	
125	69493	COCO_M05	
126	69493	THOC_M09	0.19045001195931538
127	69494	ABBA_M12	
128	69496	ABBA_M12	
129	69497	ABBA_M12	
130	69497	ACSA_M21	
131	69497	THOC_M09	0.6082803498219364
132	69497	THOC_M10	
133	69498	ABBA_M12	0.6035276991825231
134	69498	ACSA_M24	
135	69498	COCO_M01	
136	69498	FAGR_M16	
137	69498	THOC_M08	
138	69498	THOC_M09	0.19102729579312103
139	69498	THOC_M10	
140	69500	ABBA_M12	
141	69500	ABBA_M13	
142	69500	ABBA_M14	0.12501577489576038
143	69500	ABBA_M15	
144	69500	ACSA_M21	0.10278792806618368
145	69500	ACSA_M24	
146	69500	ACSA_M25	0.18649856719201754
147	69500	COCO_M01	0.09315180526036197
148	69500	COCO_M02	0.12946467007029855
149	69500	COCO_M03	0.09235141141074348
150	69500	COCO_M04	0.09658663604600111
151	69500	COCO_M05	0.10428768803045042
152	69500	FAGR_M16	
153	69500	FAGR_M17	0.12461600709718354
154	69500	FAGR_M19	0.17094954784606167
155	69500	FAGR_M20	
156	69500	THOC_M07	0.07094136291137082
157	69500	THOC_M08	0.06317812063066876
158	69500	THOC_M09	0.0710172277095014
159	69500	THOC_M10	0.07274778672112447
160	69502	COCO_M05	
161	69503	ABBA_M12	
162	69503	ACSA_M21	
163	69503	THOC_M08	
164	69503	THOC_M09	0.07460745865831481
165	69505	ACSA_M21	
166	69505	THOC_M09	
167	69506	ABBA_M12	
168	69506	ACSA_M21	
169	69506	COCO_M01	0.21802411871905486
170	69506	COCO_M05	0.10534279823398177
171	69506	FAGR_M19	
172	69506	THOC_M08	
173	69506	THOC_M09	0.10183749643282947
174	69506	THOC_M10	0.2079335316966008
175	69507	COCO_M01	
176	69507	THOC_M09	0.1726188406962721
177	69507	THOC_M10	
178	69511	ABBA_M12	0.045888462853139224
179	69511	ABBA_M13	
180	69511	COCO_M01	
181	69511	COCO_M02	0.051167653208469936
182	69511	COCO_M05	0.0358083199217585
183	69511	FAGR_M19	
184	69511	THOC_M07	
185	69511	THOC_M09	0.05063741225827365
186	69511	THOC_M10	0.03402457855472623
187	69512	ABBA_M12	
188	69512	ABBA_M14	
189	69512	COCO_M05	
190	69512	FAGR_M17	
191	69512	THOC_M08	
192	69512	THOC_M09	
193	69512	THOC_M10	
194	69513	ABBA_M12	0.04519384792832827
195	69513	ABBA_M13	
196	69513	ABBA_M14	0.05690313960311657
197	69513	COCO_M01	0.05510356430092849
198	69513	COCO_M03	
199	69513	COCO_M04	0.05140201103278839
200	69513	COCO_M05	0.02449649143199547
201	69513	FAGR_M17	
202	69513	FAGR_M20	
203	69513	THOC_M08	
204	69513	THOC_M09	0.05615657474878233
205	69513	THOC_M10	
206	69514	ABBA_M12	
207	69514	COCO_M03	
208	69514	COCO_M05	
209	69514	THOC_M09	
210	69515	ABBA_M12	
211	69515	COCO_M05	
212	69515	THOC_M09	0.24193957790622697
213	69515	THOC_M10	
214	69516	ABBA_M12	
215	69516	COCO_M05	
216	69516	FAGR_M17	
217	69516	THOC_M08	
218	69516	THOC_M09	
219	69516	THOC_M10	
220	69517	ABBA_M12	
221	69518	ABBA_M12	
222	69518	COCO_M05	
223	69518	THOC_M09	
224	69518	THOC_M10	
225	69519	ABBA_M12	0.0822840651504323
226	69519	ACSA_M21	
227	69519	COCO_M01	
228	69519	COCO_M03	
229	69519	COCO_M05	0.19246184821198822
230	69519	FAGR_M16	
231	69519	FAGR_M17	0.0
232	69519	FAGR_M19	
233	69519	THOC_M07	0.09087796658493975
234	69519	THOC_M08	0.05909363532590644
235	69519	THOC_M09	0.21850050853347947
236	69519	THOC_M10	0.2892043138801016
237	69520	ABBA_M12	
238	69520	COCO_M05	
239	69520	THOC_M08	0.19025366281937298
240	69520	THOC_M09	
241	69520	THOC_M10	
242	69521	ABBA_M12	
243	69521	COCO_M01	
244	69521	COCO_M03	
245	69521	COCO_M05	
246	69521	THOC_M07	
247	69521	THOC_M08	0.1449430940759179
248	69521	THOC_M09	0.1526796651646723
249	69521	THOC_M10	0.18374977631379952
250	69522	ABBA_M12	
251	69522	COCO_M03	
252	69522	COCO_M05	
253	69522	THOC_M08	
254	69522	THOC_M09	
255	69522	THOC_M10	
256	69523	ABBA_M12	
257	69523	COCO_M05	
258	69523	THOC_M08	
259	69523	THOC_M09	2.110025678843236
260	69523	THOC_M10	
261	69524	ABBA_M12	
262	69524	ABBA_M14	
263	69524	ACSA_M25	
264	69524	COCO_M05	0.06405421354321139
265	69524	FAGR_M17	0.03905820402722124
266	69524	THOC_M08	
267	69524	THOC_M09	
268	69524	THOC_M10	0.1667583732669086
269	69525	ABBA_M12	
270	69525	COCO_M05	
271	69525	THOC_M08	
272	69526	ABBA_M12	
273	69526	COCO_M01	
274	69526	COCO_M05	0.30480768794777957
275	69526	THOC_M09	
276	69526	THOC_M10	
277	69527	COCO_M01	
278	69527	COCO_M05	
279	69527	THOC_M08	0.19318671841311044
280	69527	THOC_M09	0.2915205981089846
281	69527	THOC_M10	
282	69528	ABBA_M12	0.11490377089449554
283	69528	ACSA_M25	
284	69528	COCO_M03	
285	69528	COCO_M05	
286	69528	THOC_M07	
287	69528	THOC_M08	
288	69528	THOC_M09	0.18314586174305067
289	69528	THOC_M10	0.5897326922738751
290	69529	ABBA_M12	
291	69529	COCO_M02	
292	69529	COCO_M05	0.6558826052229001
293	69529	THOC_M08	
294	69529	THOC_M09	
295	69529	THOC_M10	
296	69530	ABBA_M12	
297	69530	COCO_M01	
298	69530	COCO_M05	0.02229084870545794
299	69530	THOC_M07	
300	69530	THOC_M08	
301	69530	THOC_M09	
302	69530	THOC_M10	
303	69531	ABBA_M12	
304	69531	ABBA_M13	
305	69531	ACSA_M21	
306	69531	COCO_M01	
307	69531	COCO_M02	
308	69531	COCO_M03	
309	69531	COCO_M05	0.2766757715534614
310	69531	THOC_M07	
311	69531	THOC_M08	
312	69531	THOC_M09	0.39105649986502217
313	69531	THOC_M10	0.6338813811925161
314	69532	ABBA_M12	
315	69532	COCO_M05	0.21973254048341265
316	69532	FAGR_M16	
317	69532	THOC_M07	
318	69532	THOC_M09	
319	69532	THOC_M10	0.1860737536942377
320	69533	ABBA_M12	
321	69533	ACSA_M21	
322	69533	ACSA_M24	
323	69533	COCO_M01	
324	69533	COCO_M02	
325	69533	COCO_M05	0.25934634047481525
326	69533	FAGR_M16	
327	69533	FAGR_M17	
328	69533	FAGR_M19	
329	69533	THOC_M08	
330	69533	THOC_M09	0.4296907718482753
331	69533	THOC_M10	0.4762280543550794
332	69534	ABBA_M12	
333	69534	ACSA_M24	
334	69534	COCO_M04	
335	69534	COCO_M05	
336	69534	FAGR_M17	0.21918635587242366
337	69534	FAGR_M19	
338	69534	THOC_M08	
339	69534	THOC_M09	
340	69534	THOC_M10	
341	69535	ABBA_M12	
342	69535	COCO_M05	
343	69535	FAGR_M17	
344	69535	THOC_M08	
345	69535	THOC_M10	
346	69536	ABBA_M12	
347	69536	ABBA_M14	
348	69536	ACSA_M21	
349	69536	ACSA_M25	
350	69536	COCO_M01	0.4598785117645783
351	69536	COCO_M03	0.26124678709515514
352	69536	COCO_M05	0.10569920951381813
353	69536	FAGR_M17	
354	69536	THOC_M07	
355	69536	THOC_M08	
356	69536	THOC_M09	
357	69536	THOC_M10	
358	69537	ABBA_M12	0.7995545282039099
359	69537	ABBA_M14	0.2058269880769342
360	69537	ACSA_M21	
361	69537	COCO_M01	
362	69537	COCO_M03	0.3814724380704586
363	69537	COCO_M05	0.26433043441042947
364	69537	FAGR_M19	
365	69537	THOC_M08	
366	69537	THOC_M09	0.21762229594985735
367	69537	THOC_M10	
368	69540	ABBA_M12	
369	69540	COCO_M05	
370	69540	THOC_M09	
371	69540	THOC_M10	0.5985506396110248
372	69543	ABBA_M12	
373	69543	COCO_M05	0.15330455915210803
374	69543	THOC_M09	
375	69543	THOC_M10	
376	69547	ABBA_M14	
377	69547	COCO_M03	
378	69547	COCO_M05	
379	69547	THOC_M09	
380	69547	THOC_M10	0.12315484506779822
381	69549	ABBA_M12	
382	69549	COCO_M05	
383	69553	ABBA_M12	0.4166260944974439
384	69553	ABBA_M14	0.061352494955347184
385	69553	COCO_M01	
386	69553	COCO_M03	
387	69553	COCO_M05	
388	69553	FAGR_M17	
389	69553	FAGR_M20	0.146181709919118
390	69553	THOC_M07	
391	69554	ABBA_M12	
392	69554	COCO_M03	
393	69554	FAGR_M17	
394	69555	ABBA_M12	
395	69555	COCO_M01	
396	69555	COCO_M02	
397	69555	COCO_M03	
398	69555	COCO_M05	
399	69555	FAGR_M20	
400	69558	ACSA_M21	
401	69558	ACSA_M24	
402	69558	COCO_M03	
403	69558	COCO_M05	
404	69558	FAGR_M19	0.17130869608347216
405	69559	COCO_M05	
406	69559	FAGR_M16	
407	69560	COCO_M02	0.24575892413638248
408	69560	COCO_M03	
409	69560	FAGR_M17	0.21377286488116307
410	69560	THOC_M09	
411	69561	ABBA_M12	0.030778338819311787
