	corresponding_gene_call	sample_id	pN_gene_consensus
0	69460	THOC_M09	0.0010818536877174611
1	69461	ABBA_M12	
2	69461	FAGR_M16	
3	69461	FAGR_M19	
4	69461	THOC_M08	
5	69461	THOC_M09	
6	69461	THOC_M10	
7	69462	THOC_M09	
8	69462	THOC_M10	
9	69463	ABBA_M12	
10	69463	ACSA_M21	
11	69463	COCO_M02	
12	69463	COCO_M05	
13	69463	THOC_M08	
14	69463	THOC_M09	
15	69463	THOC_M10	
16	69466	ABBA_M12	0.0018654244994639507
17	69466	ACSA_M21	
18	69466	COCO_M01	
19	69466	COCO_M02	
20	69466	COCO_M03	
21	69466	COCO_M05	0.0016317531449226126
22	69466	FAGR_M16	
23	69466	FAGR_M17	
24	69466	FAGR_M19	
25	69466	THOC_M07	
26	69466	THOC_M08	
27	69466	THOC_M09	0.001389648350613921
28	69466	THOC_M10	0.0011415729771228687
29	69467	ABBA_M12	0.0017953029960719497
30	69467	ABBA_M14	
31	69467	ACSA_M21	
32	69467	COCO_M01	
33	69467	COCO_M02	
34	69467	COCO_M03	
35	69467	COCO_M04	
36	69467	COCO_M05	
37	69467	FAGR_M16	0.0011990426978339987
38	69467	FAGR_M19	0.0008035880316299356
39	69467	THOC_M06	
40	69467	THOC_M07	
41	69467	THOC_M09	0.0019049932900763046
42	69467	THOC_M10	0.002023077209919184
43	69468	COCO_M01	
44	69468	THOC_M09	
45	69470	ABBA_M12	
46	69470	ACSA_M21	
47	69470	ACSA_M25	
48	69470	COCO_M03	
49	69470	COCO_M05	
50	69470	FAGR_M19	
51	69470	THOC_M08	
52	69470	THOC_M09	
53	69470	THOC_M10	
54	69471	THOC_M09	
55	69471	THOC_M10	
56	69472	ABBA_M12	0.003241831404281469
57	69472	COCO_M01	
58	69472	COCO_M03	
59	69472	COCO_M05	
60	69472	FAGR_M16	
61	69472	FAGR_M17	
62	69472	THOC_M07	
63	69472	THOC_M08	
64	69472	THOC_M09	
65	69472	THOC_M10	0.003115062386503559
66	69473	ABBA_M12	
67	69473	ACSA_M21	
68	69473	COCO_M01	
69	69473	FAGR_M16	
70	69473	FAGR_M17	
71	69473	THOC_M07	
72	69473	THOC_M08	
73	69473	THOC_M09	
74	69473	THOC_M10	
75	69474	ABBA_M12	
76	69474	THOC_M10	
77	69476	THOC_M09	
78	69476	THOC_M10	
79	69477	ABBA_M12	
80	69477	COCO_M05	
81	69477	THOC_M07	
82	69477	THOC_M09	
83	69477	THOC_M10	
84	69478	THOC_M08	
85	69479	ABBA_M12	
86	69479	COCO_M05	
87	69479	THOC_M08	
88	69479	THOC_M09	
89	69479	THOC_M10	
90	69480	ABBA_M12	
91	69480	THOC_M09	
92	69480	THOC_M10	
93	69481	ABBA_M12	
94	69481	THOC_M08	
95	69481	THOC_M09	
96	69481	THOC_M10	
97	69482	ABBA_M12	
98	69482	COCO_M03	
99	69482	THOC_M07	
100	69482	THOC_M09	
101	69482	THOC_M10	
102	69483	FAGR_M16	
103	69483	FAGR_M17	
104	69484	THOC_M09	
105	69484	THOC_M10	0.002429261559696343
106	69485	THOC_M10	
107	69488	ABBA_M12	
108	69488	ABBA_M13	
109	69488	FAGR_M17	
110	69489	COCO_M02	
111	69489	FAGR_M16	
112	69489	THOC_M09	0.004191952333964632
113	69489	THOC_M10	0.007336332630279403
114	69490	THOC_M09	
115	69490	THOC_M10	
116	69491	ABBA_M12	
