	corresponding_gene_call	sample_id	pS_gene_consensus
0	69460	THOC_M09	0.009018356887062833
1	69461	ABBA_M12	
2	69461	FAGR_M16	
3	69461	FAGR_M19	
4	69461	THOC_M08	
5	69461	THOC_M09	
6	69461	THOC_M10	
7	69462	THOC_M09	
8	69462	THOC_M10	
9	69463	ABBA_M12	
10	69463	ACSA_M21	
11	69463	COCO_M02	
12	69463	COCO_M05	
13	69463	THOC_M08	
14	69463	THOC_M09	
15	69463	THOC_M10	
16	69466	ABBA_M12	0.004313180506222265
17	69466	ACSA_M21	
18	69466	COCO_M01	
19	69466	COCO_M02	
20	69466	COCO_M03	
21	69466	COCO_M05	0.0020501040221914285
22	69466	FAGR_M16	
23	69466	FAGR_M17	
24	69466	FAGR_M19	
25	69466	THOC_M07	
26	69466	THOC_M08	
27	69466	THOC_M09	0.007971499809855913
28	69466	THOC_M10	0.005010113123540281
29	69467	ABBA_M12	0.012326137914303011
30	69467	ABBA_M14	
31	69467	ACSA_M21	
32	69467	COCO_M01	
33	69467	COCO_M02	
34	69467	COCO_M03	
35	69467	COCO_M04	
36	69467	COCO_M05	
37	69467	FAGR_M16	0.01355634290143094
38	69467	FAGR_M19	0.00958163249799039
39	69467	THOC_M06	
40	69467	THOC_M07	
41	69467	THOC_M09	0.00922589038517551
42	69467	THOC_M10	0.014910205319342241
43	69468	COCO_M01	
44	69468	THOC_M09	
45	69470	ABBA_M12	
46	69470	ACSA_M21	
47	69470	ACSA_M25	
48	69470	COCO_M03	
49	69470	COCO_M05	
50	69470	FAGR_M19	
51	69470	THOC_M08	
52	69470	THOC_M09	
53	69470	THOC_M10	
54	69471	THOC_M09	
55	69471	THOC_M10	
56	69472	ABBA_M12	0.03856522854577336
57	69472	COCO_M01	
58	69472	COCO_M03	
59	69472	COCO_M05	
60	69472	FAGR_M16	
61	69472	FAGR_M17	
62	69472	THOC_M07	
63	69472	THOC_M08	
64	69472	THOC_M09	
65	69472	THOC_M10	0.018938223263500097
66	69473	ABBA_M12	
67	69473	ACSA_M21	
68	69473	COCO_M01	
69	69473	FAGR_M16	
70	69473	FAGR_M17	
71	69473	THOC_M07	
72	69473	THOC_M08	
73	69473	THOC_M09	
74	69473	THOC_M10	
75	69474	ABBA_M12	
76	69474	THOC_M10	
77	69476	THOC_M09	
78	69476	THOC_M10	
79	69477	ABBA_M12	
80	69477	COCO_M05	
81	69477	THOC_M07	
82	69477	THOC_M09	
83	69477	THOC_M10	
84	69478	THOC_M08	
85	69479	ABBA_M12	
86	69479	COCO_M05	
87	69479	THOC_M08	
88	69479	THOC_M09	
89	69479	THOC_M10	
90	69480	ABBA_M12	
91	69480	THOC_M09	
92	69480	THOC_M10	
93	69481	ABBA_M12	
94	69481	THOC_M08	
95	69481	THOC_M09	
96	69481	THOC_M10	
97	69482	ABBA_M12	
98	69482	COCO_M03	
99	69482	THOC_M07	
100	69482	THOC_M09	
101	69482	THOC_M10	
102	69483	FAGR_M16	
103	69483	FAGR_M17	
104	69484	THOC_M09	
105	69484	THOC_M10	0.04024740032999499
106	69485	THOC_M10	
107	69488	ABBA_M12	
108	69488	ABBA_M13	
109	69488	FAGR_M17	
110	69489	COCO_M02	
111	69489	FAGR_M16	
112	69489	THOC_M09	0.01742341449653451
113	69489	THOC_M10	0.04503268161827438
114	69490	THOC_M09	
115	69490	THOC_M10	
116	69491	ABBA_M12	
117	69491	ACSA_M25	
118	69492	ACSA_M25	
119	69492	COCO_M03	
120	69492	COCO_M05	
121	69492	THOC_M09	
122	69493	ABBA_M12	0.052127665747261936
123	69493	COCO_M01	
124	69493	COCO_M03	
125	69493	COCO_M05	
126	69493	THOC_M09	0.0544510018919849
127	69494	ABBA_M12	
128	69496	ABBA_M12	
129	69497	ABBA_M12	
130	69497	ACSA_M21	
131	69497	THOC_M09	0.004832004278906929
132	69497	THOC_M10	
133	69498	ABBA_M12	0.0034871868666882812
134	69498	ACSA_M24	
135	69498	COCO_M01	
136	69498	FAGR_M16	
137	69498	THOC_M08	
138	69498	THOC_M09	0.00813696582598333
139	69498	THOC_M10	
140	69500	ABBA_M12	
141	69500	ABBA_M13	
142	69500	ABBA_M14	0.03920083914137845
143	69500	ABBA_M15	
144	69500	ACSA_M21	0.011966991985753668
145	69500	ACSA_M24	
146	69500	ACSA_M25	0.015588070466119187
147	69500	COCO_M01	0.10594529358968553
148	69500	COCO_M02	0.06459564383400036
149	69500	COCO_M03	0.10527043556637634
150	69500	COCO_M04	0.020693003056980463
151	69500	COCO_M05	0.11953999361423627
152	69500	FAGR_M16	
153	69500	FAGR_M17	0.017582556805143878
154	69500	FAGR_M19	0.010271233209389177
155	69500	FAGR_M20	
156	69500	THOC_M07	0.046955858400511134
157	69500	THOC_M08	0.016729517646335013
158	69500	THOC_M09	0.011125167951771786
159	69500	THOC_M10	0.022118365763280055
160	69502	COCO_M05	
161	69503	ABBA_M12	
162	69503	ACSA_M21	
163	69503	THOC_M08	
164	69503	THOC_M09	0.013546010976612316
165	69505	ACSA_M21	
166	69505	THOC_M09	
167	69506	ABBA_M12	
168	69506	ACSA_M21	
169	69506	COCO_M01	0.017834162694591482
170	69506	COCO_M05	0.024139692179165947
171	69506	FAGR_M19	
172	69506	THOC_M08	
173	69506	THOC_M09	0.04707775100609417
174	69506	THOC_M10	0.010361803856369109
175	69507	COCO_M01	
176	69507	THOC_M09	0.04870526624813348
177	69507	THOC_M10	
178	69511	ABBA_M12	0.031559905348161305
179	69511	ABBA_M13	
180	69511	COCO_M01	
181	69511	COCO_M02	0.011330935251798494
182	69511	COCO_M05	0.017615955594487996
183	69511	FAGR_M19	
184	69511	THOC_M07	
185	69511	THOC_M09	0.013568312671987643
186	69511	THOC_M10	0.010007887960969807
187	69512	ABBA_M12	
188	69512	ABBA_M14	
189	69512	COCO_M05	
190	69512	FAGR_M17	
191	69512	THOC_M08	
192	69512	THOC_M09	
193	69512	THOC_M10	
194	69513	ABBA_M12	0.037326088814602525
195	69513	ABBA_M13	
196	69513	ABBA_M14	0.04876078675925323
197	69513	COCO_M01	0.1009733477884242
198	69513	COCO_M03	
199	69513	COCO_M04	0.059762799357568744
200	69513	COCO_M05	0.06640200588430095
201	69513	FAGR_M17	
202	69513	FAGR_M20	
203	69513	THOC_M08	
204	69513	THOC_M09	0.019686388464418635
205	69513	THOC_M10	
206	69514	ABBA_M12	
207	69514	COCO_M03	
208	69514	COCO_M05	
209	69514	THOC_M09	
210	69515	ABBA_M12	
211	69515	COCO_M05	
212	69515	THOC_M09	0.007771959555387662
213	69515	THOC_M10	
214	69516	ABBA_M12	
215	69516	COCO_M05	
216	69516	FAGR_M17	
217	69516	THOC_M08	
218	69516	THOC_M09	
219	69516	THOC_M10	
220	69517	ABBA_M12	
221	69518	ABBA_M12	
222	69518	COCO_M05	
223	69518	THOC_M09	
224	69518	THOC_M10	
225	69519	ABBA_M12	0.02003182038151013
226	69519	ACSA_M21	
227	69519	COCO_M01	
228	69519	COCO_M03	
229	69519	COCO_M05	0.00841619070519345
230	69519	FAGR_M16	
231	69519	FAGR_M17	0.0074478651859605895
232	69519	FAGR_M19	
233	69519	THOC_M07	0.018248228292871555
234	69519	THOC_M08	0.004852885210028175
235	69519	THOC_M09	0.010337332218195482
236	69519	THOC_M10	0.011572866793520136
237	69520	ABBA_M12	
238	69520	COCO_M05	
239	69520	THOC_M08	0.024891153994421614
240	69520	THOC_M09	
241	69520	THOC_M10	
242	69521	ABBA_M12	
243	69521	COCO_M01	
244	69521	COCO_M03	
245	69521	COCO_M05	
246	69521	THOC_M07	
247	69521	THOC_M08	0.0799330859199279
248	69521	THOC_M09	0.03640374700336761
249	69521	THOC_M10	0.03860996042215139
250	69522	ABBA_M12	
251	69522	COCO_M03	
252	69522	COCO_M05	
253	69522	THOC_M08	
254	69522	THOC_M09	
255	69522	THOC_M10	
256	69523	ABBA_M12	
257	69523	COCO_M05	
258	69523	THOC_M08	
259	69523	THOC_M09	0.002509275255600567
260	69523	THOC_M10	
261	69524	ABBA_M12	
262	69524	ABBA_M14	
263	69524	ACSA_M25	
264	69524	COCO_M05	0.013849663424958785
265	69524	FAGR_M17	0.02032679731973383
266	69524	THOC_M08	
267	69524	THOC_M09	
268	69524	THOC_M10	0.005419357339667417
269	69525	ABBA_M12	
270	69525	COCO_M05	
271	69525	THOC_M08	
272	69526	ABBA_M12	
273	69526	COCO_M01	
274	69526	COCO_M05	0.021107759993629682
275	69526	THOC_M09	
276	69526	THOC_M10	
277	69527	COCO_M01	
278	69527	COCO_M05	
279	69527	THOC_M08	0.012656985871271523
280	69527	THOC_M09	0.004464701964701942
281	69527	THOC_M10	
282	69528	ABBA_M12	0.009276762384133611
283	69528	ACSA_M25	
284	69528	COCO_M03	
285	69528	COCO_M05	
286	69528	THOC_M07	
287	69528	THOC_M08	
288	69528	THOC_M09	0.012697260297551792
289	69528	THOC_M10	0.002413915215811824
290	69529	ABBA_M12	
291	69529	COCO_M02	
292	69529	COCO_M05	0.013926527722763992
293	69529	THOC_M08	
294	69529	THOC_M09	
295	69529	THOC_M10	
296	69530	ABBA_M12	
297	69530	COCO_M01	
298	69530	COCO_M05	0.10545232298839383
299	69530	THOC_M07	
300	69530	THOC_M08	
301	69530	THOC_M09	
302	69530	THOC_M10	
303	69531	ABBA_M12	
304	69531	ABBA_M13	
305	69531	ACSA_M21	
306	69531	COCO_M01	
307	69531	COCO_M02	
308	69531	COCO_M03	
309	69531	COCO_M05	0.01608151480157065
310	69531	THOC_M07	
311	69531	THOC_M08	
312	69531	THOC_M09	0.005308974758081305
313	69531	THOC_M10	0.003104587164965593
314	69532	ABBA_M12	
315	69532	COCO_M05	0.022753433357148592
316	69532	FAGR_M16	
317	69532	THOC_M07	
318	69532	THOC_M09	
319	69532	THOC_M10	0.01947239604296212
320	69533	ABBA_M12	
321	69533	ACSA_M21	
322	69533	ACSA_M24	
323	69533	COCO_M01	
324	69533	COCO_M02	
