	corresponding_gene_call	sample_id	num_SCVs
0	66214	ABBA_M12	1
1	66214	COCO_M01	1
2	66214	COCO_M02	8
3	66214	COCO_M03	3
4	66214	COCO_M04	1
5	66215	ABBA_M12	5
6	66215	ABBA_M13	1
7	66215	ABBA_M14	1
8	66215	ACSA_M21	5
9	66215	ACSA_M22	4
10	66215	ACSA_M24	3
11	66215	ACSA_M25	13
12	66215	COCO_M01	88
13	66215	COCO_M02	153
14	66215	COCO_M03	168
15	66215	COCO_M04	25
16	66215	COCO_M05	83
17	66215	FAGR_M16	16
18	66215	FAGR_M17	13
19	66215	FAGR_M19	7
20	66215	THOC_M07	1
21	66215	THOC_M09	14
22	66215	THOC_M10	13
23	66216	ABBA_M12	8
24	66216	ABBA_M14	2
25	66216	ACSA_M25	4
26	66216	COCO_M01	47
27	66216	COCO_M02	71
28	66216	COCO_M03	107
29	66216	COCO_M04	9
30	66216	COCO_M05	57
31	66216	FAGR_M16	19
32	66216	FAGR_M17	17
33	66216	FAGR_M19	12
34	66216	THOC_M08	3
35	66216	THOC_M09	5
36	66216	THOC_M10	16
37	66217	ABBA_M12	28
38	66217	ABBA_M13	7
39	66217	ABBA_M14	8
40	66217	ACSA_M21	4
41	66217	ACSA_M24	1
42	66217	ACSA_M25	4
43	66217	COCO_M01	112
44	66217	COCO_M02	158
45	66217	COCO_M03	155
46	66217	COCO_M04	18
47	66217	COCO_M05	146
48	66217	FAGR_M16	12
49	66217	FAGR_M17	12
50	66217	FAGR_M19	6
51	66217	FAGR_M20	3
52	66217	THOC_M06	1
53	66217	THOC_M07	26
54	66217	THOC_M08	6
55	66217	THOC_M09	35
56	66217	THOC_M10	3
57	66218	ABBA_M12	10
58	66218	ABBA_M13	3
59	66218	ABBA_M14	9
60	66218	ACSA_M21	14
61	66218	ACSA_M22	6
62	66218	ACSA_M24	5
63	66218	ACSA_M25	16
64	66218	COCO_M01	94
65	66218	COCO_M02	152
66	66218	COCO_M03	160
67	66218	COCO_M04	28
68	66218	COCO_M05	154
69	66218	FAGR_M16	42
70	66218	FAGR_M17	33
71	66218	FAGR_M19	9
72	66218	FAGR_M20	4
73	66218	THOC_M07	20
74	66218	THOC_M08	2
75	66218	THOC_M09	40
76	66218	THOC_M10	23
77	66219	ABBA_M12	2
78	66219	ABBA_M14	12
79	66219	ACSA_M21	1
80	66219	ACSA_M24	8
81	66219	ACSA_M25	5
82	66219	COCO_M01	5
83	66219	COCO_M02	21
84	66219	COCO_M03	24
85	66219	COCO_M04	1
86	66219	COCO_M05	28
87	66219	FAGR_M16	7
88	66219	FAGR_M17	7
89	66219	FAGR_M19	1
90	66219	FAGR_M20	9
91	66219	THOC_M08	12
92	66219	THOC_M09	4
93	66219	THOC_M10	8
94	66220	ABBA_M12	14
95	66220	ABBA_M14	6
96	66220	ACSA_M21	13
97	66220	ACSA_M24	7
98	66220	ACSA_M25	4
99	66220	COCO_M01	30
100	66220	COCO_M02	36
101	66220	COCO_M03	44
102	66220	COCO_M04	13
103	66220	COCO_M05	45
104	66220	FAGR_M16	19
105	66220	FAGR_M17	10
106	66220	FAGR_M19	5
107	66220	FAGR_M20	11
108	66220	THOC_M07	3
109	66220	THOC_M09	19
110	66220	THOC_M10	1
111	66221	ABBA_M12	1
112	66221	ABBA_M14	1
113	66221	ACSA_M21	8
114	66221	ACSA_M24	14
115	66221	ACSA_M25	24
116	66221	COCO_M01	44
117	66221	COCO_M02	60
118	66221	COCO_M03	55
119	66221	COCO_M04	8
120	66221	COCO_M05	46
121	66221	FAGR_M16	24
122	66221	FAGR_M17	10
123	66221	FAGR_M19	1
124	66221	FAGR_M20	15
125	66221	THOC_M07	2
126	66221	THOC_M08	1
127	66221	THOC_M09	23
128	66221	THOC_M10	7
129	66222	ABBA_M12	2
130	66222	ABBA_M13	4
131	66222	ACSA_M21	3
132	66222	ACSA_M24	1
133	66222	ACSA_M25	3
134	66222	COCO_M01	16
135	66222	COCO_M02	21
136	66222	COCO_M03	20
137	66222	COCO_M04	7
138	66222	COCO_M05	17
139	66222	FAGR_M16	1
140	66222	FAGR_M17	5
141	66222	FAGR_M19	1
142	66222	FAGR_M20	1
143	66222	THOC_M07	2
144	66222	THOC_M09	8
145	66222	THOC_M10	3
146	66223	ABBA_M11	11
147	66223	ABBA_M12	16
148	66223	ABBA_M13	21
149	66223	ABBA_M14	38
150	66223	ABBA_M15	23
151	66223	ACSA_M21	26
152	66223	ACSA_M23	13
153	66223	ACSA_M24	24
154	66223	ACSA_M25	20
155	66223	COCO_M01	21
156	66223	COCO_M02	21
157	66223	COCO_M03	31
158	66223	COCO_M04	19
159	66223	COCO_M05	22
160	66223	FAGR_M16	35
161	66223	FAGR_M17	21
162	66223	FAGR_M19	25
163	66223	FAGR_M20	22
164	66223	THOC_M07	19
165	66223	THOC_M08	27
166	66223	THOC_M09	23
167	66223	THOC_M10	23
168	66224	ABBA_M12	3
169	66224	ABBA_M14	6
170	66224	ACSA_M22	1
171	66224	ACSA_M25	2
172	66224	COCO_M01	11
173	66224	COCO_M02	13
174	66224	COCO_M03	12
175	66224	COCO_M04	8
176	66224	COCO_M05	9
177	66224	FAGR_M16	8
178	66224	FAGR_M17	7
179	66224	FAGR_M19	5
180	66224	THOC_M09	3
181	66224	THOC_M10	5
