	corresponding_gene_call	sample_id	pN_gene_consensus
0	66214	ABBA_M12	
1	66214	COCO_M01	
2	66214	COCO_M02	
3	66214	COCO_M03	
4	66214	COCO_M04	
5	66215	ABBA_M12	
6	66215	ABBA_M13	
7	66215	ABBA_M14	
8	66215	ACSA_M21	
9	66215	ACSA_M22	
10	66215	ACSA_M24	
11	66215	ACSA_M25	0.0009387330797288787
12	66215	COCO_M01	0.005147925382243768
13	66215	COCO_M02	0.006463609720970271
14	66215	COCO_M03	0.008139738886551489
15	66215	COCO_M04	0.0010437682026577513
16	66215	COCO_M05	0.005562534420287695
17	66215	FAGR_M16	0.0009385375253097101
18	66215	FAGR_M17	0.0007837702757962678
19	66215	FAGR_M19	
20	66215	THOC_M07	
21	66215	THOC_M09	0.0005171720876091832
22	66215	THOC_M10	0.00102204515967068
23	66216	ABBA_M12	
24	66216	ABBA_M14	
25	66216	ACSA_M25	
26	66216	COCO_M01	0.0032865977484788276
27	66216	COCO_M02	0.004434043562848814
28	66216	COCO_M03	0.007165469637564746
29	66216	COCO_M04	
30	66216	COCO_M05	0.004376330913260154
31	66216	FAGR_M16	0.0022899184328370736
32	66216	FAGR_M17	0.0019227439189715744
33	66216	FAGR_M19	0.0007962483314462249
34	66216	THOC_M08	
35	66216	THOC_M09	
36	66216	THOC_M10	0.0027709043379002835
37	66217	ABBA_M12	0.002006080766783506
38	66217	ABBA_M13	
39	66217	ABBA_M14	
40	66217	ACSA_M21	
41	66217	ACSA_M24	
42	66217	ACSA_M25	
43	66217	COCO_M01	0.003163941247652118
44	66217	COCO_M02	0.00634188202243833
45	66217	COCO_M03	0.0060149152145197535
46	66217	COCO_M04	0.0009392332483885409
47	66217	COCO_M05	0.005396113404912909
48	66217	FAGR_M16	2.4593389296956806e-05
49	66217	FAGR_M17	0.00048718333083495386
50	66217	FAGR_M19	
51	66217	FAGR_M20	
52	66217	THOC_M06	
53	66217	THOC_M07	0.002418476452872461
54	66217	THOC_M08	
55	66217	THOC_M09	0.0018667041717096643
56	66217	THOC_M10	
57	66218	ABBA_M12	0.0012968855979346237
58	66218	ABBA_M13	
59	66218	ABBA_M14	
60	66218	ACSA_M21	0.0010551211959881777
61	66218	ACSA_M22	
62	66218	ACSA_M24	
63	66218	ACSA_M25	0.00011893144669431473
64	66218	COCO_M01	0.003445164637568876
65	66218	COCO_M02	0.006224619388460758
66	66218	COCO_M03	0.006458362090911425
67	66218	COCO_M04	0.00218606537328462
68	66218	COCO_M05	0.00875345798490359
69	66218	FAGR_M16	0.0013089794377913325
70	66218	FAGR_M17	0.002229787043358766
71	66218	FAGR_M19	
72	66218	FAGR_M20	
73	66218	THOC_M07	0.0005569729654076799
74	66218	THOC_M08	
75	66218	THOC_M09	0.0021078211556508435
76	66218	THOC_M10	0.0009109342369700228
77	66219	ABBA_M12	
78	66219	ABBA_M14	0.004382604776926539
79	66219	ACSA_M21	
80	66219	ACSA_M24	
81	66219	ACSA_M25	
82	66219	COCO_M01	
83	66219	COCO_M02	0.001028125678975011
84	66219	COCO_M03	0.0017923883988235825
85	66219	COCO_M04	
86	66219	COCO_M05	0.0029938417075038833
87	66219	FAGR_M16	
88	66219	FAGR_M17	
89	66219	FAGR_M19	
90	66219	FAGR_M20	
91	66219	THOC_M08	0.0058112203872085055
92	66219	THOC_M09	
93	66219	THOC_M10	
94	66220	ABBA_M12	0.0005435069106838802
95	66220	ABBA_M14	
96	66220	ACSA_M21	0.0004966214189373875
97	66220	ACSA_M24	
98	66220	ACSA_M25	
99	66220	COCO_M01	0.0005690331893373455
100	66220	COCO_M02	0.0011002991758515322
101	66220	COCO_M03	0.0004796504651399949
102	66220	COCO_M04	0.0020857945166937977
103	66220	COCO_M05	0.0008405368568642968
104	66220	FAGR_M16	0.0016342468709975284
105	66220	FAGR_M17	8.14509122502175e-05
106	66220	FAGR_M19	
107	66220	FAGR_M20	0.0006014836596939138
108	66220	THOC_M07	
109	66220	THOC_M09	0.0007360059575524415
110	66220	THOC_M10	
111	66221	ABBA_M12	
112	66221	ABBA_M14	
113	66221	ACSA_M21	
114	66221	ACSA_M24	0.0020204437000704563
115	66221	ACSA_M25	0.005735973552336017
116	66221	COCO_M01	0.003998025027157362
117	66221	COCO_M02	0.005489830301727637
118	66221	COCO_M03	0.004513588110586442
119	66221	COCO_M04	
120	66221	COCO_M05	0.0058063844327617
121	66221	FAGR_M16	0.0017044555400944096
122	66221	FAGR_M17	0.0011578351748510053
123	66221	FAGR_M19	
124	66221	FAGR_M20	0.00255911422908713
125	66221	THOC_M07	
126	66221	THOC_M08	
127	66221	THOC_M09	0.003285690142895913
128	66221	THOC_M10	
129	66222	ABBA_M12	
130	66222	ABBA_M13	
131	66222	ACSA_M21	
132	66222	ACSA_M24	
133	66222	ACSA_M25	
134	66222	COCO_M01	0.0003760166940592315
135	66222	COCO_M02	0.001936279767876562
136	66222	COCO_M03	0.0006545469444513893
137	66222	COCO_M04	
138	66222	COCO_M05	0.0009842977404554737
139	66222	FAGR_M16	
140	66222	FAGR_M17	
141	66222	FAGR_M19	
142	66222	FAGR_M20	
143	66222	THOC_M07	
144	66222	THOC_M09	
145	66222	THOC_M10	
146	66223	ABBA_M11	0.0006274509803921564
147	66223	ABBA_M12	0.009932246627894045
148	66223	ABBA_M13	0.006785839278503158
149	66223	ABBA_M14	0.016451623747424225
150	66223	ABBA_M15	0.004229886667693986
151	66223	ACSA_M21	0.010702057826936557
152	66223	ACSA_M23	0.008891640866873059
153	66223	ACSA_M24	0.009356446321844238
154	66223	ACSA_M25	0.015297837110985889
155	66223	COCO_M01	0.0014189782438538332
156	66223	COCO_M02	0.001741123830244513
157	66223	COCO_M03	0.004247968827978234
158	66223	COCO_M04	0.005152104627426624
159	66223	COCO_M05	0.0029270709017164
160	66223	FAGR_M16	0.013366709156010995
161	66223	FAGR_M17	0.010084554484470763
162	66223	FAGR_M19	0.01099036343026112
163	66223	FAGR_M20	0.010082576457693044
164	66223	THOC_M07	0.010244946275723903
165	66223	THOC_M08	0.012645596046799587
166	66223	THOC_M09	0.004497949546462851
167	66223	THOC_M10	0.010420922215039855
168	66224	ABBA_M12	
169	66224	ABBA_M14	
170	66224	ACSA_M22	
171	66224	ACSA_M25	
172	66224	COCO_M01	0.00525089223099397
173	66224	COCO_M02	0.005548813213680951
174	66224	COCO_M03	0.004565873530390193
175	66224	COCO_M04	
176	66224	COCO_M05	
177	66224	FAGR_M16	
178	66224	FAGR_M17	
179	66224	FAGR_M19	
180	66224	THOC_M09	
181	66224	THOC_M10	
182	66225	ABBA_M12	
183	66225	ABBA_M13	
184	66225	ABBA_M14	
185	66225	ACSA_M21	
186	66225	ACSA_M24	
187	66225	ACSA_M25	
188	66225	COCO_M01	0.0006258060429630335
189	66225	COCO_M02	0.0012253085267352726
190	66225	COCO_M03	0.002079079574737585
191	66225	COCO_M04	
192	66225	COCO_M05	0.0003594357090337273
193	66225	FAGR_M16	
194	66225	FAGR_M17	
195	66225	FAGR_M19	
196	66225	FAGR_M20	
197	66225	THOC_M09	
198	66225	THOC_M10	0.0
199	66226	ABBA_M12	0.0009935574012264199
200	66226	ABBA_M13	
201	66226	ABBA_M14	0.0017391962506351092
202	66226	ACSA_M21	0.0006928255967402385
203	66226	ACSA_M24	0.0003166854327298315
204	66226	ACSA_M25	
205	66226	COCO_M01	0.0006350992412231101
206	66226	COCO_M02	0.0011272161808369098
207	66226	COCO_M03	0.001815574964824676
208	66226	COCO_M04	0.00018346940647646958
209	66226	COCO_M05	0.002151611415963928
210	66226	FAGR_M16	0.0006786808792358723
211	66226	FAGR_M17	0.00022824467829513176
212	66226	FAGR_M19	
213	66226	FAGR_M20	
214	66226	THOC_M07	
215	66226	THOC_M08	
216	66226	THOC_M09	0.0014221509707658465
217	66226	THOC_M10	
218	66227	ABBA_M12	
219	66227	ABBA_M14	
220	66227	ACSA_M21	
221	66227	ACSA_M24	
222	66227	ACSA_M25	0.0022779795311984124
223	66227	COCO_M01	0.003987052883705995
224	66227	COCO_M02	0.00774620173720918
225	66227	COCO_M03	0.010546821474434196
226	66227	COCO_M04	
227	66227	COCO_M05	0.004954922458800022
228	66227	FAGR_M16	0.0019809042171816033
229	66227	FAGR_M17	
230	66227	FAGR_M19	
231	66227	THOC_M07	0.0014856388246946167
232	66227	THOC_M09	0.00569718748647171
233	66227	THOC_M10	
234	66228	ABBA_M12	
235	66228	ACSA_M21	
236	66228	ACSA_M24	
237	66228	COCO_M01	
238	66228	COCO_M02	
239	66228	COCO_M03	0.004144452347203297
240	66228	COCO_M04	
241	66228	COCO_M05	0.0037276889216937737
242	66228	FAGR_M16	
243	66228	FAGR_M17	
244	66228	FAGR_M19	
245	66228	THOC_M09	
246	66228	THOC_M10	
247	66229	ABBA_M11	
248	66229	ABBA_M12	
249	66229	ABBA_M14	
250	66229	ACSA_M24	0.0032480948768285394
251	66229	ACSA_M25	0.000127420998980632
252	66229	COCO_M01	0.0020734597400614238
253	66229	COCO_M02	0.0016250814176218037
254	66229	COCO_M03	0.002177562036488195
255	66229	COCO_M04	0.003059749571806833
256	66229	COCO_M05	0.002616791647660962
257	66229	FAGR_M16	0.006166481495494469
258	66229	FAGR_M17	0.0028682221234612986
259	66229	FAGR_M19	
260	66229	THOC_M07	
261	66229	THOC_M09	0.0027339233073178024
262	66229	THOC_M10	0.003625936054261742
263	66230	ABBA_M12	
264	66230	ABBA_M14	
