corresponding_gene_call	nS_gene_consensus	nN_gene_consensus
66214	95.99999999999972	303.0000000000003
66215	665.0000000000057	1692.9999999999943
66216	302.6666666666669	774.333333333333
66217	463.33333333332445	1270.6666666666756
66218	499.6666666666557	1366.3333333333444
66219	99.99999999999966	317.00000000000034
66220	252.66666666666947	767.3333333333305
66221	230.00000000000216	642.9999999999978
66222	101.99999999999963	288.00000000000034
66223	91.66666666666644	283.33333333333354
66224	60.333333333333485	170.66666666666652
66225	157.00000000000009	445.9999999999999
66226	352.9999999999974	991.0000000000026
66227	136.66666666666617	388.3333333333338
66228	49.66666666666674	142.33333333333326
66229	151.99999999999994	436.00000000000006
66230	99.66666666666633	263.33333333333366
66231	132.9999999999994	401.00000000000057
66232	101.6666666666663	294.3333333333337
66233	76.0	230.0
66234	133.33333333333275	433.66666666666725
66235	73.00000000000004	241.99999999999994
66236	90.99999999999979	269.0000000000002
66237	366.33333333332996	1052.6666666666702
66238	61.66666666666683	202.33333333333317
66239	54.00000000000011	161.9999999999999
66240	102.99999999999962	311.0000000000004
66241	181.00000000000077	559.9999999999992
66242	96.9999999999997	290.0000000000003
66243	63.00000000000017	215.99999999999983
66244	214.0000000000017	622.9999999999983
66245	71.00000000000007	225.99999999999994
66246	157.00000000000009	463.9999999999999
66247	185.00000000000088	549.9999999999991
66248	75.33333333333334	233.66666666666666
66252	432.99999999999284	1352.0000000000073
66253	907.6666666666999	2458.3333333333003
66254	129.99999999999932	308.0000000000007
66255	77.66666666666664	246.33333333333337
66256	524.333333333323	1404.666666666677
66257	352.33333333333076	922.6666666666692
66258	225.00000000000202	656.999999999998
66259	204.33333333333476	482.66666666666526
66260	947.6666666667045	2505.3333333332957
66261	273.66666666666856	863.3333333333314
66262	198.66666666666794	635.3333333333321
66263	63.66666666666684	182.33333333333314
66264	315.33333333333286	764.6666666666672
66265	244.3333333333359	694.6666666666641
66266	871.3333333333625	2332.6666666666374
66267	124.66666666666598	343.33333333333405
66268	76.99999999999999	229.0
66269	206.66666666666816	555.3333333333319
66270	436.333333333326	1189.666666666674
66271	329.33333333333206	930.6666666666679
66272	176.00000000000063	483.9999999999994
66273	331.9999999999986	826.0000000000014
66274	308.33333333333326	906.6666666666667
66275	191.3333333333344	504.6666666666656
66276	237.66666666666904	659.333333333331
66277	102.66666666666629	281.3333333333337
66278	130.99999999999935	331.0000000000007
66279	70.00000000000009	175.99999999999991
66280	193.0000000000011	520.9999999999989
66281	352.9999999999974	946.0000000000026
66282	326.99999999999886	999.0000000000011
66283	382.66666666666237	922.3333333333376
66284	96.9999999999997	239.00000000000028
66285	104.33333333333293	300.6666666666671
66286	425.99999999999324	1248.0000000000068
66287	219.66666666666853	569.3333333333314
66288	382.66666666666237	1072.3333333333376
66289	385.6666666666622	1135.3333333333378
66290	523.9999999999897	1588.0000000000105
66291	77.33333333333331	228.66666666666669
66292	165.666666666667	455.33333333333303
66293	108.99999999999953	380.00000000000045
66294	266.33333333333564	756.6666666666644
66295	533.333333333324	1539.666666666676
66296	50.333333333333414	159.66666666666657
66297	307.3333333333333	994.6666666666667
66298	258.0000000000028	776.9999999999973
66299	278.6666666666683	912.3333333333317
66300	162.33333333333357	485.6666666666664
66301	146.33333333333312	441.66666666666686
66302	85.99999999999986	280.0000000000001
66303	395.99999999999494	972.000000000005
66304	174.66666666666725	491.33333333333275
66305	187.00000000000094	493.9999999999991
66306	62.666666666666835	246.33333333333317
66307	502.99999999998886	1279.0000000000111
66308	236.33333333333567	642.6666666666644
66309	209.66666666666825	498.3333333333318
66310	639.6666666666695	1721.3333333333305
66311	444.99999999999216	1181.0000000000077
66312	114.66666666666612	359.3333333333339
66319	47.00000000000006	153.99999999999994
66320	58.666666666666806	154.3333333333332
66321	61.000000000000156	190.99999999999983
66322	173.66666666666723	513.3333333333328
66323	82.66666666666657	244.33333333333343
66324	158.0000000000001	438.9999999999999
66325	57.333333333333464	167.66666666666654
66326	56.33333333333346	165.66666666666654
66327	227.66666666666876	567.3333333333312
66328	105.99999999999957	314.00000000000045
66329	70.66666666666674	211.33333333333326
66330	59.00000000000014	186.99999999999986
66331	47.33333333333339	147.6666666666666
66332	193.0000000000011	550.9999999999989
66333	78.99999999999996	218.00000000000006
66334	47.66666666666673	132.33333333333326
66335	60.333333333333485	158.66666666666652
66336	192.00000000000108	497.9999999999989
66337	40.00000000000001	137.0
66338	242.6666666666692	642.3333333333308
66339	201.33333333333468	575.6666666666654
66340	88.66666666666649	217.3333333333335
66341	66.6666666666668	182.3333333333332
66342	43.333333333333364	127.66666666666663
66343	82.66666666666657	241.33333333333343
66344	381.6666666666624	947.3333333333376
66345	53.66666666666677	153.33333333333323
66346	141.66666666666632	437.3333333333337
66347	315.9999999999995	1025.0000000000005
66348	407.33333333332763	1158.6666666666724
66349	297.00000000000057	794.9999999999994
66350	161.33333333333354	435.66666666666646
66351	272.3333333333353	762.6666666666647
66352	374.99999999999613	1125.0000000000039
66353	246.00000000000261	755.9999999999974
66354	87.99999999999983	242.00000000000017
66355	241.66666666666916	637.3333333333309
66356	369.6666666666631	881.3333333333369
66357	230.00000000000216	594.9999999999978
66358	108.6666666666662	317.3333333333338
66359	137.6666666666662	420.3333333333338
66360	183.6666666666675	527.3333333333325
66361	108.99999999999953	305.00000000000045
66362	460.66666666665793	1258.3333333333421
66363	255.00000000000287	674.9999999999972
66364	358.66666666666373	922.3333333333362
66365	339.3333333333315	983.6666666666686
66366	361.66666666666356	958.3333333333364
66367	112.66666666666615	319.3333333333338
66368	188.66666666666765	477.33333333333235
66369	387.6666666666621	1004.3333333333379
66370	418.6666666666603	1066.3333333333396
66371	269.3333333333355	729.6666666666645
66372	211.00000000000162	562.9999999999984
